Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8
08-28-2025-Thu 18-59-12-PM,0.2,1.432,-0.2,1.132,-0.1,1.44,-0.2,1.188,-0.1,1.336,-0.1,1.144,0.0,1.196,0.0,1.488
08-28-2025-Thu 18-59-14-PM,0.1,1.412,-0.2,1.12,-0.1,1.412,-0.3,1.16,-0.2,1.304,-0.2,1.112,-0.5,1.176,-0.1,1.464
08-28-2025-Thu 18-59-17-PM,0.1,1.396,-0.2,1.112,0.0,1.388,-0.1,1.14,-0.2,1.28,-0.1,1.084,-0.3,1.156,0.0,1.448
08-28-2025-Thu 18-59-19-PM,-0.1,1.376,-0.3,1.1,-0.2,1.364,-0.1,1.12,-0.2,1.256,0.0,1.064,0.0,1.144,0.0,1.428
08-28-2025-Thu 18-59-21-PM,0.2,1.348,0.3,1.092,0.0,1.348,-0.3,1.104,-0.4,1.232,-0.1,1.044,-0.2,1.128,0.2,1.416
08-28-2025-Thu 18-59-24-PM,-0.2,1.332,-0.2,1.08,0.0,1.324,-0.2,1.096,-0.2,1.208,0.0,1.024,-0.1,1.116,-0.1,1.396
08-28-2025-Thu 18-59-26-PM,-0.3,1.304,-0.1,1.072,-0.1,1.312,-0.2,1.08,-0.4,1.188,0.0,1.004,0.1,1.108,0.0,1.38
08-28-2025-Thu 18-59-29-PM,0.2,1.284,0.0,1.068,-0.4,1.296,-0.1,1.064,-0.3,1.168,-0.2,0.992,-0.2,1.096,-0.1,1.368
08-28-2025-Thu 18-59-31-PM,0.1,1.26,0.1,1.056,-0.1,1.28,-0.2,1.056,-0.1,1.148,0.0,0.976,0.0,1.088,0.0,1.352
08-28-2025-Thu 18-59-33-PM,0.1,1.24,-0.2,1.052,0.0,1.26,-0.4,1.052,-0.5,1.132,-0.1,0.96,-0.2,1.08,0.3,1.336
08-28-2025-Thu 18-59-36-PM,-0.1,1.22,0.0,1.04,-0.3,1.252,-0.1,1.04,-0.2,1.112,-0.4,0.952,-0.1,1.076,-0.2,1.324
08-28-2025-Thu 18-59-38-PM,0.0,1.2,-0.3,1.036,-0.2,1.24,-0.1,1.028,0.0,1.096,-0.2,0.936,-0.3,1.068,0.2,1.312
08-28-2025-Thu 18-59-41-PM,,,,,,,,,,,,,,,,
08-28-2025-Thu 18-59-43-PM,-0.2,1.164,0.0,1.012,0.0,1.216,-0.2,1.012,0.1,1.06,-0.1,0.912,0.0,1.056,-0.1,1.284
08-28-2025-Thu 18-59-45-PM,0.1,1.148,0.2,1.004,-0.2,1.204,-0.1,1.008,-0.4,1.048,-0.2,0.9,-0.1,1.052,0.2,1.272
08-28-2025-Thu 18-59-48-PM,-0.1,1.132,0.2,0.996,-0.2,1.188,0.0,1.004,-0.3,1.036,-0.2,0.892,-0.2,1.048,-0.1,1.26
08-28-2025-Thu 18-59-50-PM,0.1,1.124,-0.1,0.988,-0.2,1.18,-0.1,0.996,0.0,1.02,-0.4,0.884,0.0,1.04,-0.2,1.248
08-28-2025-Thu 18-59-53-PM,-0.2,1.108,0.0,0.98,-0.4,1.172,-0.2,0.988,0.0,1.012,-0.1,0.872,-0.3,1.036,-0.2,1.236
08-28-2025-Thu 18-59-55-PM,-0.1,1.096,-0.1,0.984,-0.5,1.16,0.1,0.984,-0.3,1.0,-0.1,0.864,-0.2,1.032,-0.2,1.228
08-28-2025-Thu 18-59-57-PM,-0.1,1.084,0.2,0.976,-0.1,1.152,-0.3,0.98,-0.3,0.988,-0.4,0.856,-0.2,1.028,-0.2,1.22
08-28-2025-Thu 19-00-00-PM,-0.4,1.076,0.1,0.976,0.1,1.148,-0.3,0.972,-0.6,0.98,-0.3,0.852,0.2,1.024,0.0,1.212
08-28-2025-Thu 19-00-02-PM,-0.2,1.068,-0.2,0.964,-0.2,1.136,0.0,0.972,-0.4,0.972,-0.3,0.844,0.0,1.02,-0.3,1.2
08-28-2025-Thu 19-00-04-PM,-0.2,1.056,0.0,0.952,-0.2,1.128,-0.5,0.964,-0.5,0.964,-0.4,0.836,-0.2,1.016,0.1,1.188
08-28-2025-Thu 19-00-07-PM,0.0,1.052,0.0,0.948,-0.2,1.12,-0.1,0.964,-0.2,0.956,-0.2,0.832,-0.1,1.012,-0.1,1.18
08-28-2025-Thu 19-00-09-PM,,,,,,,,,,,,,,,,
